PRODUCT_ID,CLAIM_ID
26,8
29,8
48,81
50,81
74,227
86,8
87,8
110,432
111,186
113,186
120,8
120,58
121,8
128,185
128,222
129,32
129,220
130,432
131,186
132,438
133,193
134,81
134,187
134,193
134,222
134,224
135,220
135,222
136,185
136,193
137,186
137,220
138,40
138,125
141,81
141,185
141,438
142,185
142,187
142,222
143,185
143,193
143,220
143,432
143,437
144,185
144,186
144,193
144,432
145,32
145,186
145,220
146,432
147,186
149,187
149,224
150,81
151,58
151,81
151,187
151,224
152,32
152,432
156,81
158,81
166,185
166,222
166,438
167,185
168,32
168,58
171,8
176,158
181,430
191,145
205,432
209,58
225,158
236,8
259,158
263,8
265,158
278,8
287,8
288,151
294,8
300,158
301,8
301,158
303,8
305,433
310,8
311,8
312,8
313,8
318,8
320,8
321,8
321,432
327,8
328,8
455,8
458,65
458,81
459,81
460,8
470,8
480,40
496,8
497,8
497,432
498,432
503,432
511,39
512,432
513,438
515,438
519,8
527,16
535,158
536,8
536,16
537,8
538,432
539,16
539,438
540,438
541,75
541,158
541,287
541,438
542,158
542,438
543,39
543,158
546,8
546,16
547,16
549,158
550,158
551,158
552,8
552,158
553,16
554,8
554,16
554,432
563,16
564,432
567,438
569,8
570,16
792,227
796,125
797,32
797,186
797,228
797,432
799,81
799,187
799,224
799,438
800,438
801,187
801,224
803,8
804,40
805,8
809,75
810,81
811,58
820,8
828,8
837,58
839,40
841,187
843,187
844,224
845,432
846,186
847,151
847,186
847,193
847,432
848,432
849,432
849,433
851,224
852,187
852,224
853,8
853,187
854,432
855,8
855,40
864,32
865,8
869,187
869,224
871,432
872,8
872,186
872,432
873,8
874,224
874,438
877,224
878,187
878,224
880,8
880,186
880,193
881,186
888,8
890,152
891,186
892,187
894,187
894,224
895,8
896,432
900,186
900,187
901,187
903,8
903,151
905,8
907,40
911,187
911,224
912,8
913,8
919,187
921,151
926,187
937,8
938,8
941,75
944,187
945,8
945,187
946,220
946,222
946,432
947,186
947,432
948,432
949,186
951,224
952,187
952,224
955,432
958,187
1040,40
1041,40
1044,58
1045,8
1045,58
1047,8
1048,40
1049,40
1055,432
1056,151
1064,8
6740,432
6741,187
6742,287
6743,227
6745,8
6745,432
6747,432
6753,432
6757,438
6763,8
6764,8
6769,8
6772,8
6778,432
6779,8
6780,8
6780,437
6781,8
6781,437
6783,73
6783,75
6784,73
6787,8
6788,8
6796,8
6823,8
6828,8
6845,8
6846,8
6855,8
6856,287
6869,58
6878,8
6880,8
6886,8
6888,8
6889,40
6890,40
6897,8
6898,8
6903,8
6903,32
6904,32
6906,32
6907,32
6911,8
6914,8
6915,40
6921,8
6922,40
6923,8
6929,151
6929,432
6932,40
6937,8
6939,8
6945,8
6946,8
6948,8
6953,151
6953,187
6953,224
6954,8
6954,151
6957,40
6958,81
6961,8
6962,8
6965,8
6973,8
6979,8
6988,8
6989,8
6996,8
6997,8
7000,81
7005,8
7006,8
7009,227
7021,8
7022,8
7026,81
7027,81
7028,8
7029,8
7034,81
7037,432
7038,8
7038,40
7039,40
7040,8
7045,8
7046,8
7053,8
7054,32
7057,32
7059,187
7067,287
7068,81
7068,287
7074,32
7180,58
7215,438
7270,58
7302,227
7342,438
7397,432
7422,432
7517,40
7517,430
7766,58
7767,40
7772,58
7773,58
7774,40
12068,32
12069,186
12070,432
12075,8
12076,8
12087,40
12090,433
12094,32
12102,185
12103,220
12109,8
12111,8
12118,185
12118,222
12118,432
12119,432
12126,40
12127,186
12128,432
12129,40
12136,8
12137,8
12144,8
12151,8
12154,32
12154,186
12154,438
12167,8
12176,8
12195,432
12196,432
12219,186
12219,220
12219,222
12219,432
12220,186
12225,222
12229,40
12230,40
12235,40
12235,222
12235,432
12237,40
12237,186
